_id,Districts,Total Road Accidents - Incidence,Total Road Accidents - Victims,Total Road Accidents - Rate,Hit and Run - I,Hit and Run - V,Hit and Run - R,Other Accidents - I,Other Accidents - V,Other Accidents - R
1,Ariyalur,172,185,21.4,13,13,1.6,159,172,19.8
2,Chennai,500,507,8.3,43,43,0.7,457,464,7.6
3,Coimbatore,747,780,29.2,111,112,4.3,636,668,24.9
4,Coimbatore City,262,278,23.5,49,55,4.4,213,223,19.1
5,Cuddalore,459,459,16.6,50,50,1.8,409,409,14.8
6,Dharmapuri,375,388,23.4,24,26,1.5,351,362,21.9
7,Dindigul,639,889,27.8,26,27,1.1,613,862,26.7
8,Erode,635,638,26.5,47,47,2,588,591,24.6
9,Kanchipuram,289,303,29.9,37,37,3.8,252,266,26.1
10,Kanyakumari,284,340,14.3,34,34,1.7,250,306,12.6
11,Karur,371,381,32.8,39,40,3.4,332,341,29.3
12,Krishnagiri,613,644,30.7,86,86,4.3,527,558,26.4
13,Madurai,588,689,27.4,71,71,3.3,517,618,24.1
14,Madurai City,184,226,17,35,35,3.2,149,191,13.8
15,Nagapattinam,273,306,15.9,21,21,1.2,252,285,14.7
16,Namakkal,517,528,28.2,46,46,2.5,471,482,25.7
17,Nilgiris,40,42,5.1,2,2,0.3,38,40,4.9
18,Perambalur,208,222,34.6,19,19,3.2,189,203,31.4
19,Pudukottai,474,485,27.5,15,17,0.9,459,468,26.7
20,Ramnathapuram,345,345,24,31,31,2.2,314,314,21.8
21,Railway Chennai,0,0,-,0,0,-,0,0,-
22,Railway Trichy,0,0,-,0,0,-,0,0,-
23,Salem,570,570,20.2,9,9,0.3,561,561,19.9
24,Salem City,228,229,25.9,35,36,4,193,193,21.9
25,Sivagangai,379,427,26.6,30,30,2.1,349,397,24.5
26,Thanjavur,532,549,20.8,59,59,2.3,473,490,18.5
27,Theni,312,338,23.5,19,19,1.4,293,319,22.1
28,Thirunelveli,297,316,23.7,26,26,2.1,271,290,21.6
29,Thirunelveli City,89,89,17.7,7,7,1.4,82,82,16.3
30,Thiruvallur,326,326,13,39,39,1.6,287,287,11.4
31,Thiruvannamalai,535,611,20.4,59,60,2.3,476,551,18.2
32,Thiruvarur,205,265,15.3,9,17,0.7,196,248,14.6
33,Thoothukudi,426,713,22.9,35,35,1.9,391,678,21
34,Tiruppur,686,688,31.7,17,17,0.8,669,671,30.9
35,Tiruppur City,158,170,33.5,5,5,1.1,153,165,32.4
36,Trichy,540,562,27.1,38,38,1.9,502,524,25.2
37,Trichy City,149,150,16.5,30,30,3.3,119,120,13.2
38,Vellore,307,321,18.5,0,0,0,307,321,18.5
39,Villupuram,548,572,25,66,66,3,482,506,21.9
40,Virudhunagar,485,485,23.5,25,25,1.2,460,460,22.3
41,Cyber Cell,0,0,-,0,0,-,0,0,-
42,Other Units,0,0,-,0,0,-,0,0,-
43,Chengalpattu,404,460,16.7,26,26,1.1,378,434,15.6
44,Kallakurichi,271,284,18.3,8,8,0.5,263,276,17.8
45,Ranipet,259,269,20.3,38,38,3,221,231,17.3
46,Tiruppattur,197,414,15.7,18,18,1.4,179,396,14.3
47,Tenkasi,256,256,16.9,14,14,0.9,242,242,16
48,Avadi,372,381,88.8,34,38,8.1,338,343,80.7
49,Tambaram,475,517,59.6,30,30,3.8,445,487,55.8
50,TOTAL DISTRICT(S),16981,18597,22.1,1475,1502,1.9,15506,17095,20.2
