Districts,Num of Cases Registered,Male,Female,Trasngender,Total
Avadi City,752,543,213,1,757
Chennai City,1566,1201,377,3,1581
Coimbatore City,376,289,87,0,376
Madurai City,381,273,108,0,381
Salem City,233,161,72,0,233
Thambaram City,530,382,149,0,531
Thiruchirapalli City,184,139,46,1,186
Thirunelveli City,106,74,33,0,107
Thirupur City,373,274,100,0,374
Ariyalur,261,171,90,0,261
Chengalpattu,235,167,68,0,235
Coimbatore,881,629,255,1,885
Cuddalore,602,434,172,0,606
Dharmapuri,402,270,132,1,403
Dindigul,537,389,147,1,537
Erode,603,422,185,0,607
Kallakurichi,199,132,67,0,199
Kancheepuram,200,147,52,1,200
Kanniyakumari,636,525,121,0,646
Karur,251,160,93,0,253
Krishnagiri,528,357,178,0,535
Madurai,514,361,159,0,520
Mayiladuthurai,160,108,52,0,160
Nagapattinam,203,167,36,0,203
Namakkal,479,331,150,2,483
Perambalur,212,140,72,0,212
Pudukkottai,316,222,97,0,319
Ramanathapuram,378,273,105,0,378
Ranipettai,218,158,61,1,220
Salem,340,224,117,0,341
Sivagangai,386,268,118,0,386
Thenkasi,473,327,146,1,474
Thanjavur,634,482,155,0,637
The Nilgiris,287,232,56,0,288
Theni,458,322,136,0,458
Thiruvallur,343,230,115,0,345
Thiruvarur,373,268,106,1,375
Thoothukudi,620,468,154,1,623
Thiruchirapalli,384,236,149,0,385
Thirunelveli,451,333,118,1,452
Thirupathur,250,154,97,0,251
Thirupur,624,470,159,0,629
Thiruvannamalai,444,300,147,0,447
Vellore,277,191,88,0,279
Villupuram,362,261,102,0,363
Virudhunagar,542,401,141,0,542
RP Chennai,44,41,5,0,46
RP Thiruchirapalli,124,112,13,0,125
State Total,19732,14219,5599,16,19834
